AircraftDesignation,Overview_Manufacturer,Overview_AlternateDesignation,Overview_Monikers,Overview_Description,Overview_Family,Overview_SubFamily,Overview_PayloadType,Overview_NumSold,Overview_NumCrew,Overview_NumAttendants,Overview_References,Overview_Aisle,Overview_RangeCapability,Overview_ModelType,Overview_PassengerType,Settings_TkoPoints,Settings_ClbPoints,Settings_CrsPoints,Settings_DesPoints,Settings_Plotting,Settings_DataTypeValidation,TLAR_EIS,TLAR_MaxPax,TLAR_Pax,TLAR_Class,TLAR_ADG,TLAR_ADGPercent,TLAR_ADGLimitor,Propulsion_EngineDesignation,Propulsion_AlternateEngines,Propulsion_NumEngines,Performance_Range,Performance_TOFL,Performance_RCMax,Weight_Cargo,Weight_MRW,Weight_MTOW,Weight_MLW,Weight_MZFW,Weight_OEW,Weight_Fuel,Weight_Airframe,Weight_OEW_MTOW,Weight_MZFW_MTOW,Weight_EngFrac,Weight_FuelFrac,Weight_Batt,Weight_EM,Weight_EG,Weight_Payload,Weight_Burden,Weight_Structure_Burden,Aero_Span,Aero_Length,Aero_Height,Aero_TipChord,Aero_Sweep,Aero_RootChord,Aero_S,Aero_WingtipDevice,Aero_MAC,Aero_TaperRatio,Aero_AR,OEW_MaxIter,OEW_Tol,Analysis_MaxIter,Analysis_Type,Thrust_SLS,Thrust_Max,Thrust_Crs,Fuel_Type,Fuel_Density,Fuel_CapUsable,Fuel_CapUnusable,Engine_Manufacturer,Engine_EIS,Engine_AlternateDesignation,Engine_Description,Engine_NumSold,Engine_Thrust_Max,Engine_Thrust_SLS,Engine_Thrust_Crs,Engine_FPR,Engine_BPR,Engine_OPR_SLS,Engine_OPR_Crs,Engine_Mach_Crs,Engine_Alt_Crs,Engine_DryWeight,Engine_DiamFan,Engine_Width,Engine_Height,Engine_Length,Engine_TSFC_SLS,Engine_TSFC_Crs,Engine_FanStages,Engine_GearStages,Engine_GearRatio,Engine_LPCStages,Engine_IPCStages,Engine_HPCStages,Engine_RCStages,Engine_HPTStages,Engine_IPTStages,Engine_LPTStages,Engine_HP100,Engine_IP100,Engine_LP100,Engine_HPContPer,Engine_IPContPer,Engine_LPContPer,Engine_Airflow_SLS,Engine_Airflow_Crs,Engine_TurbExitTemp,Engine_TurbEntryTemp,Engine_References,Engine_PresPerStage,Engine_DataTypeValidation,T_W_SLS,Arch_Type,Eta_Prop,Vels_MaxOp,Vels_Crs,Vels_Tko,Alts_Crs,Alts_Tko,L_D_CrsBRE,L_D_Crs,L_D_Clb,L_D_Des,L_D_CrsMAC,L_D_CrsMAC2,W_S_SLS,SpecEnergy_Fuel,SpecEnergy_Batt,Eta_EM,Eta_EG,Phi_SLS,Phi_Tko,Phi_Clb,Phi_Crs,Phi_Des,Phi_Lnd,P_W_AC,P_W_EM,P_W_EG
A350_941,Airbus,N/A,N/A,"Two turbofan, long range, double aisle, large category airplane",A350,A340-900,Passenger,763,2,8,"EASA TCDS No. EASA.A.151, A350 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTENANCE PLANNING MANUAL",Double,Long Range,Baseline,Commercial,,,,,0,Training,2014,440,315,Turbofan,V,0.992684034,Wingspan,Trent_XWB_84,Trent_XWB_84,2,15927000,2800,,0,280900,280000,207000,195700,141700,,127146,0.506071429,0.698928571,0.051978571,,41800,,,,,,64.75,66.8,17.05,,,7.86,,Blended,,,,,,,1,635200,749000,,Jet A,0.785,140795,,Rolls Royce,2013,,triple spool high bypass turbofan,,374500,317600,,,9.6,50,,,,7277,2.9972,4.002,4.002,4.483,,0.4777,1,0,,0,8,6,0,1,2,6,12600,8200,2700,96.4,98.5,96.8,,,850,2000,"EASA E111
Trent XWB Infographic
RR Website",1.297970037,Training,0.272680938,C,,,0.85,,13136,0,,,,,,,,12,,,,0,0,0,0,0,0,,,
A350_942,Airbus,A350_941,N/A,"Two turbofan, long range, double aisle, large category airplane",A350,A340-900,Passenger,763,2,8,"EASA TCDS No. EASA.A.151, A350 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTENANCE PLANNING MANUAL",Double,Long Range,Variant,Commercial,,,,,0,Validation,2014,440,315,Turbofan,V,0.992684034,Wingspan,Trent_XWB_75,Trent_XWB_75,2,,2800,,0,255900,255000,207000,195700,,,,,0.76745098,0.05707451,,41800,,,,,,64.75,66.8,17.05,,,7.86,,Blended,,,,,,,1,592600,660000,,Jet A,0.785,140795,,Rolls Royce,2013,,triple spool high bypass turbofan,,330000,296300,,,9.6,50,,,,7277,2.9972,4.002,4.002,4.483,,0.4777,1,0,,0,8,6,0,1,2,6,12600,8200,2700,96.4,98.5,96.8,,,850,2000,"EASA E111
Trent XWB Infographic
RR Website",1.297970037,Training,0.263836421,C,,,0.85,,13136,0,,,,,,,,12,,,,0,0,0,0,0,0,,,
A350_1041,Airbus,N/A,N/A,"Two turbofan, long range, double aisle, large category airplane",A350,A340-1000,Passenger,224,,,"EASA TCDS No. EASA.A.151, A350 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTENANCE PLANNING MANUAL",Double,Long Range,Baseline,Commercial,,,,,0,Training,2017,440,366,Turbofan,V,0.992684034,Wingspan,Trent_XWB_97,,2,15387443.45,,,0,316900,316000,236000,223000,155775.3304,,140677.3304,0.492959906,0.705696203,0.047778481,,41800,,,,,,64.75,73.79,17.08,,,,,Blended,,,,,,,1,739200,863000,,Jet A,0.785,156000,,Rolls Royce,2017,,triple spool high bypass turbofan,,431500,369600,,,9.6,50,,,,7549,2.9972,4.002,4.002,4.483,,0.4777,1,0,,0,8,6,0,1,2,6,12600,8200,2700,98.5,100,102.4,,,850,2000,"EASA E111
Trent XWB Infographic
RR Website",1.297970037,Training,0.278390689,C,,,,,12633.96,0,,,,,,,,12,,,,0,0,0,0,0,0,,,
A300_B1,Airbus,N/A,N/A,"Twin _engine, double aisle_body, short range carrier",A300,A300-B1,Passenger,,3,7,"EASA TCDS No. EASA.A.172, A300 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTANENCE PLANNING MANUAL",Double,Short Range,Baseline,Commercial,,,,,0,Training,1974,323,,Turbofan,,,,CF6_50A,CF6_50C,2,,,,0,137900,137000,122000,116500,,34000,,,0.850364964,0.05843727,0.248175182,30685,,,,72690.906,0.884692426,,,,,,,,No Wingtip Device,6.608064,,,,,,1,412000,430000,,,0.782,43478.26087,66.49616368,General Electric,1972,,"turbofan, two_spool, high bypass",,215293.93,205952.66,,1.69,4.4,28.6,,0.8,10668,4002.953,2.195,2.3876,2.667,4.6482,0.39,0.65,1,0,,3,0,14,0,2,0,4,10761,,4102,0.913242009,,0.836820084,655,,875,,"Roux, FAA TCDS E23EA",1.204784091,Training,0.319947618,C,,0.86,,,12200,0,,,,,,,,12,,,,0,0,0,0,0,0,,,
A300_B2_1A,Airbus,N/A,N/A,"Twin _engine, double aisle_body, short range carrier",A300,A300-B2,Passenger,,3,7,"EASA TCDS No. EASA.A.172, A300 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTANENCE PLANNING MANUAL",Double,,Baseline,Commercial,,,,,0,Training,1974,345,269,Turbofan,IV,0.913167104,TailHeight,CF6_50A,,2,3700000,,,0,137900,137000,127500,116500,85910,34000,77904.094,0.627080292,0.850364964,0.05843727,0.248175182,32775,,,,74780.906,0.832018457,44.83,53.61,16.7,,,,,No Wingtip Device,6.608064,,,,,,1,412000,430000,,,0.782,43478.26087,66.49616368,General Electric,1972,,"turbofan, two_spool, high bypass",,215293.93,205952.66,,1.69,4.4,28.6,,0.8,10668,4002.953,2.195,2.3876,2.667,4.6482,0.39,0.65,1,0,,3,0,14,0,2,0,4,10761,,4102,0.913242009,,0.836820084,655,,875,,"Roux, FAA TCDS E23EA",1.204784091,Training,0.319947618,C,,0.86,0.78,,12200,0,10.18012701,,,,,,,12,,,,0,0,0,0,0,0,,,
A300_B2_1C,Airbus,N/A,N/A,"Twin _engine, double aisle_body, short range carrier",A300,A300-B2,Passenger,,3,7,"EASA TCDS No. EASA.A.172, A300 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTANENCE PLANNING MANUAL",Double,,Variant,Commercial,,,,,0,Validation,1974,345,269,Turbofan,IV,0.913167104,TailHeight,CF6_50C,CF6_50C2R,2,3700000,,,0,137900,137000,127500,116500,85910,34000,77776.182,0.627080292,0.850364964,0.059370934,0.248175182,32775,,,,74908.818,0.828890158,44.83,53.61,16.7,,,,,No Wingtip Device,6.608064,,,,,,1,412000,448000,98750,,0.782,43478.26087,66.49616368,General Electric,1973,,"turbofan, two_spool, high bypass",,224190.37,205952.66,49375,,4.26,29.3,,0.8,10668,4066.909,2.195,2.3876,2.667,4.6482,0.39,0.66,1,0,,3,0,14,0,2,0,4,10761,,4102,0.913242009,,0.836820084,658.2,,910,,"Roux, FAA TCDS E23EA",1.206403659,Training,0.333340774,C,,0.86,0.78,,12200,0,10.33674435,13.33864707,,,,,,12,,,,0,0,0,0,0,0,,,
A300_B2K_3C,Airbus,N/A,N/A,"Twin _engine, double aisle_body, short range carrier",A300,A300-B2,Passenger,,3,7,"EASA TCDS No. EASA.A.172, A300 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTANENCE PLANNING MANUAL",Double,,Variant,Commercial,,,,,0,Training,1976,345,269,Turbofan,IV,0.913167104,TailHeight,CF6_50C,CF6_50C2R,2,3500000,,,0,142900,142000,130000,120500,86275,34000,78141.182,0.607570423,0.848591549,0.057280408,0.23943662,32775,,,,74908.818,0.895637974,44.83,53.61,16.7,,,,,No Wingtip Device,6.608064,,,,,,1,412000,448000,98750,,0.782,43478.26087,66.49616368,General Electric,1973,,"turbofan, two_spool, high bypass",,224190.37,205952.66,49375,,4.26,29.3,,0.8,10668,4066.909,2.195,2.3876,2.667,4.6482,0.39,0.66,1,0,,3,0,14,0,2,0,4,10761,,4102,0.913242009,,0.836820084,658.2,,910,,"Roux, FAA TCDS E23EA",1.206403659,Training,0.321603423,C,,0.86,0.78,,12200,0,10.19085254,13.825459,,,,,,12,,,,0,0,0,0,0,0,,,
A300_B2_202,Airbus,N/A,N/A,"Twin _engine, double aisle_body, short range carrier",A300,A300-B2,Passenger,,3,7,"EASA TCDS No. EASA.A.172, A300 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTANENCE PLANNING MANUAL",Double,,Variant,Commercial,,,,,0,Training,1978,345,269,Turbofan,IV,0.913167104,TailHeight,CF6_50C1,,2,3500000,,,0,142900,142000,130000,120500,86275,34000,78141.182,0.607570423,0.848591549,0.057280408,0.23943662,32775,,,,74908.818,0.895637974,44.83,53.61,16.7,,,,,No Wingtip Device,6.608064,,,,,,1,412000,461000,102798,,0.782,43478.26087,66.49616368,General Electric,1976,,"turbofan, two_spool, high bypass",,230417.88,205952.66,51399,,4.24,30.1,,0.8,10668,4066.909,2.195,2.3876,2.667,4.6482,0.37,0.66,1,0,,3,0,14,0,2,0,4,10761,,4102,0.913242009,,0.836820084,666.8,,910,,"Roux, FAA TCDS E23EA",1.208210437,Training,0.330935665,C,,0.86,0.78,,12200,0,10.19085254,13.28103734,,,,,,12,,,,0,0,0,0,0,0,,,
A300_B2_203,Airbus,N/A,N/A,"Twin _engine, double aisle_body, short range carrier",A300,A300-B2,Passenger,,2,7,"EASA TCDS No. EASA.A.172, A300 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTANENCE PLANNING MANUAL",Double,,Variant,Commercial,,,,,0,Validation,1980,345,269,Turbofan,IV,0.913167104,TailHeight,CF6_50C2,CF6_50C2D,2,3500000,,,0,142900,142000,130000,120500,86275,34000,78141.182,0.607570423,0.848591549,0.057280408,0.23943662,32775,,,,74908.818,0.895637974,44.83,53.61,16.7,,,,,No Wingtip Device,6.608064,,,,,,1,412000,461000,102798,,0.782,43478.26087,66.49616368,General Electric,1978,,"turbofan, two_spool, high bypass",,230417.88,205952.66,51399,,4.31,30.4,,0.8,10668,4066.909,2.195,2.3876,2.667,4.6482,0.37,0.63,1,0,,3,0,14,0,2,0,4,10761,,4102,0.913242009,,0.836820084,669.5,,910,,"Roux, FAA TCDS E23EA",1.208876307,Training,0.330935665,C,,0.86,0.78,,12200,0,9.727631969,13.28103734,,,,,,12,,,,0,0,0,0,0,0,,,
A300_B2_320,Airbus,N/A,N/A,"Twin _engine, double aisle_body, short range carrier",A300,A300-B2,Passenger,,3,7,"EASA TCDS No. EASA.A.172, A300 AIRCRAFT CHARACTERISTICS AIRPORT AND  MAINTANENCE PLANNING MANUAL",Double,,Variant,Commercial,,,,,0,Training,1980,345,269,Turbofan,,,,JT9D_59A,,2,3750000,,,0,142900,142000,136000,126000,,,,,0.887323944,0.058391972,,32775,,,,,,,,,,,,,No Wingtip Device,6.608064,,,,,,1,398400,460300,106312,,0.782,43478.26087,120.2046036,Pratt & Whitney ,1974,,"turbofan, dual axial 16 stage compressor",,230062.02,199146.88,53156,,4.9,24.5,,0.85,10668,4145.83,2.428,2.47,2.47,3.92,0.37,0.63,1,0,,4,0,11,0,2,0,4,8011,,3780,,,,743.4,,650,,Roux / JT9D E3NE TCDS,1.221301471,Training,0.33043316,C,,0.86,0.78,,12200,0,,12.84205054,,,,,,12,,,,0,0,0,0,0,0,,,
